"cle_retour_client";"note";"cle_produit";"ref_magasin";"date_achat";"libelle_source";"libelle_categorie";"recommandation"
156795;10;137;19;"2021-11-21";"réseaux sociaux";"qualité produit";""
156796;10;22;58;"2021-04-03";"réseaux sociaux";"livraison";"1"
156797;10;77;19;"2021-10-27";"réseaux sociaux";"qualité produit";""
156798;7;29;67;"2021-02-15";"téléphone";"qualité produit";"0"
156799;8;108;62;"2021-06-21";"email";"livraison";"1"
156800;9;66;31;"2021-10-04";"email";"livraison";"0"
156801;8;103;74;"2021-04-05";"email";"expérience en magasin";"1"
156802;10;103;19;"2021-07-24";"téléphone";"livraison";"1"
156803;8;123;14;"2021-07-26";"téléphone";"service après-vente";"1"
156804;7;67;82;"2021-01-03";"réseaux sociaux";"service après-vente";""
156805;8;138;37;"2021-11-04";"téléphone";"expérience en magasin";"1"
156806;7;72;17;"2021-07-24";"email";"qualité produit";"0"
156807;10;17;22;"2021-01-22";"réseaux sociaux";"expérience en magasin";""
156808;9;39;54;"2021-05-11";"email";"service après-vente";"1"
156809;10;81;50;"2021-10-20";"téléphone";"livraison";"1"
156810;9;141;49;"2021-02-27";"email";"livraison";"1"
156811;7;127;6;"2021-05-16";"email";"service après-vente";"1"
156812;7;115;16;"2021-05-26";"téléphone";"drive";"1"
156813;8;61;67;"2021-01-05";"réseaux sociaux";"drive";""
156814;7;42;82;"2021-12-23";"réseaux sociaux";"service après-vente";""
156815;8;50;1;"2021-07-09";"téléphone";"livraison";"1"
156816;7;62;18;"2021-03-20";"téléphone";"livraison";"1"
156817;7;121;18;"2021-10-05";"email";"expérience en magasin";"0"
156818;7;82;30;"2021-10-06";"email";"drive";"1"
156819;8;117;53;"2021-12-18";"email";"expérience en magasin";"1"
156820;7;119;30;"2021-05-18";"réseaux sociaux";"expérience en magasin";""
156821;7;26;33;"2021-06-11";"téléphone";"qualité produit";"1"
156822;8;66;24;"2021-04-06";"email";"qualité produit";"1"
156823;9;6;67;"2021-01-25";"téléphone";"drive";"1"
156824;9;7;40;"2021-04-09";"téléphone";"livraison";"1"
156825;8;118;60;"2021-11-26";"réseaux sociaux";"qualité produit";""
156826;9;12;43;"2021-05-13";"téléphone";"livraison";"1"
156827;7;51;14;"2021-08-28";"téléphone";"qualité produit";"0"
156828;7;48;83;"2021-11-30";"réseaux sociaux";"qualité produit";""
156829;10;105;61;"2021-08-07";"téléphone";"qualité produit";"1"
156830;8;6;1;"2021-03-12";"téléphone";"qualité produit";"1"
156831;7;32;7;"2021-12-16";"téléphone";"livraison";"1"
156832;10;127;42;"2021-08-09";"téléphone";"service après-vente";"1"
156833;8;36;81;"2021-03-29";"email";"drive";"1"
156834;10;68;32;"2021-04-14";"réseaux sociaux";"qualité produit";""
156835;7;18;17;"2021-05-09";"réseaux sociaux";"drive";""
156836;9;116;57;"2021-09-21";"réseaux sociaux";"expérience en magasin";""
156837;9;82;70;"2021-03-25";"email";"service après-vente";"0"
156838;7;20;55;"2021-05-26";"réseaux sociaux";"qualité produit";""
156839;8;9;53;"2021-11-22";"email";"qualité produit";"1"
156840;8;126;54;"2021-04-08";"réseaux sociaux";"drive";""
156841;7;59;76;"2021-02-20";"téléphone";"service après-vente";"1"
156842;10;15;6;"2021-07-21";"email";"drive";"1"
156843;7;141;68;"2021-06-03";"téléphone";"qualité produit";"1"
156844;7;142;56;"2021-01-23";"téléphone";"livraison";"1"
156845;7;10;53;"2021-11-25";"email";"service après-vente";"1"
156846;10;85;11;"2021-07-14";"téléphone";"expérience en magasin";"1"
156847;10;94;68;"2021-03-09";"téléphone";"livraison";"1"
156848;8;73;40;"2021-06-24";"réseaux sociaux";"expérience en magasin";"1"
156849;8;143;81;"2021-05-04";"téléphone";"service après-vente";"1"
156850;8;139;72;"2021-05-21";"email";"livraison";"0"
156851;7;79;15;"2021-02-06";"réseaux sociaux";"expérience en magasin";""
156852;9;129;27;"2021-04-18";"téléphone";"qualité produit";"1"
156853;7;64;57;"2021-06-08";"réseaux sociaux";"livraison";""
156854;10;16;18;"2021-08-30";"téléphone";"drive";"1"
156855;8;5;18;"2021-12-06";"téléphone";"expérience en magasin";"1"
156856;9;124;20;"2021-07-21";"téléphone";"service après-vente";"1"
156857;8;13;50;"2021-12-07";"téléphone";"expérience en magasin";"0"
156858;10;103;17;"2021-12-20";"téléphone";"livraison";"0"
156859;8;72;39;"2021-01-13";"téléphone";"expérience en magasin";"1"
156860;8;82;24;"2021-04-25";"email";"service après-vente";"1"
156861;9;54;9;"2021-09-25";"réseaux sociaux";"drive";""
156862;10;60;42;"2021-02-14";"email";"drive";"1"
156863;9;118;17;"2021-07-20";"email";"qualité produit";"1"
156864;8;101;39;"2021-04-07";"réseaux sociaux";"expérience en magasin";"1"
156865;7;97;15;"2021-02-22";"email";"service après-vente";"1"
156866;7;12;39;"2021-04-21";"réseaux sociaux";"livraison";""
156867;7;91;28;"2021-01-08";"réseaux sociaux";"expérience en magasin";""
156868;9;135;63;"2021-07-15";"réseaux sociaux";"expérience en magasin";""
156869;10;12;51;"2021-05-17";"réseaux sociaux";"expérience en magasin";"1"
156870;7;122;13;"2021-08-13";"email";"drive";"1"
156871;8;141;75;"2021-05-01";"téléphone";"livraison";"1"
156872;8;23;21;"2021-06-18";"réseaux sociaux";"expérience en magasin";""
156873;8;67;83;"2021-03-27";"téléphone";"service après-vente";"1"
156874;10;62;27;"2021-03-10";"téléphone";"qualité produit";"1"
156875;7;122;9;"2021-03-01";"email";"expérience en magasin";"1"
156876;8;50;73;"2021-06-02";"email";"livraison";"1"
156877;7;92;51;"2021-04-12";"téléphone";"qualité produit";"1"
156878;10;141;16;"2021-01-20";"réseaux sociaux";"drive";""
156879;10;101;62;"2021-08-10";"email";"drive";"1"
156880;7;117;5;"2021-09-29";"téléphone";"livraison";"0"
156881;9;74;7;"2021-04-28";"téléphone";"livraison";"1"
156882;8;127;1;"2021-12-18";"téléphone";"livraison";"1"
156883;9;96;65;"2021-06-06";"réseaux sociaux";"expérience en magasin";""
156884;7;35;33;"2021-07-26";"réseaux sociaux";"qualité produit";""
156885;8;100;63;"2021-06-28";"réseaux sociaux";"drive";""
156886;8;70;40;"2021-11-16";"email";"expérience en magasin";"1"
156887;7;28;11;"2021-05-26";"téléphone";"livraison";"1"
156888;9;84;31;"2021-11-11";"réseaux sociaux";"qualité produit";""
156889;8;75;59;"2021-04-21";"téléphone";"service après-vente";"0"
156890;10;124;53;"2021-07-29";"téléphone";"service après-vente";"1"
156891;8;38;4;"2021-09-16";"réseaux sociaux";"qualité produit";"1"
156892;10;114;72;"2021-05-31";"réseaux sociaux";"livraison";"1"
156893;8;40;32;"2021-10-30";"téléphone";"qualité produit";"1"
156894;8;36;32;"2021-09-18";"réseaux sociaux";"service après-vente";""
156895;8;21;49;"2021-02-14";"réseaux sociaux";"expérience en magasin";""
156896;7;14;58;"2021-09-06";"email";"qualité produit";"0"
156897;9;137;16;"2021-11-08";"email";"expérience en magasin";"0"
156898;7;53;76;"2021-11-11";"réseaux sociaux";"livraison";""
156899;10;17;44;"2021-01-17";"réseaux sociaux";"expérience en magasin";"1"
156900;8;79;6;"2021-08-05";"réseaux sociaux";"livraison";""
156901;7;105;48;"2021-08-08";"email";"expérience en magasin";"1"
156902;9;10;54;"2021-02-02";"réseaux sociaux";"drive";""
156903;7;99;24;"2021-10-02";"téléphone";"livraison";"0"
156904;9;123;22;"2021-03-30";"réseaux sociaux";"qualité produit";""
156905;10;93;37;"2021-04-13";"réseaux sociaux";"service après-vente";"1"
156906;7;97;46;"2021-06-29";"réseaux sociaux";"livraison";""
156907;9;3;11;"2021-05-23";"réseaux sociaux";"qualité produit";""
156908;7;97;60;"2021-07-05";"email";"expérience en magasin";"1"
156909;7;97;29;"2021-03-04";"réseaux sociaux";"drive";""
156910;8;65;28;"2021-07-01";"email";"expérience en magasin";"0"
156911;8;89;39;"2021-04-19";"email";"expérience en magasin";"0"
156912;9;131;4;"2021-08-25";"email";"qualité produit";"1"
156913;8;130;82;"2021-10-01";"téléphone";"qualité produit";"1"
156914;10;33;21;"2021-08-17";"email";"drive";"1"
156915;7;110;44;"2021-10-26";"téléphone";"drive";"0"
156916;7;135;51;"2021-09-23";"réseaux sociaux";"qualité produit";""
156917;8;28;60;"2021-12-22";"téléphone";"livraison";"1"
156918;8;114;39;"2021-02-01";"téléphone";"expérience en magasin";"1"
156919;10;18;72;"2021-02-25";"téléphone";"expérience en magasin";"1"
156920;8;64;41;"2021-01-11";"réseaux sociaux";"drive";""
156921;8;70;20;"2021-08-05";"téléphone";"livraison";"1"
156922;8;17;24;"2021-10-04";"email";"service après-vente";"1"
156923;10;5;47;"2021-05-09";"réseaux sociaux";"qualité produit";""
156924;10;144;33;"2021-04-15";"email";"service après-vente";"1"
156925;8;115;72;"2021-06-19";"téléphone";"livraison";"1"
156926;7;7;33;"2021-12-22";"réseaux sociaux";"qualité produit";""
156927;8;84;69;"2021-01-04";"email";"drive";"0"
156928;7;17;18;"2021-11-04";"réseaux sociaux";"service après-vente";""
156929;8;72;8;"2021-01-21";"réseaux sociaux";"service après-vente";"1"
156930;8;128;44;"2021-06-01";"téléphone";"qualité produit";"0"
156931;7;126;22;"2021-09-05";"téléphone";"drive";"1"
156932;9;67;60;"2021-04-05";"email";"livraison";"1"
156933;7;52;14;"2021-08-27";"téléphone";"drive";"1"
156934;8;28;49;"2021-03-08";"téléphone";"livraison";"1"
156935;10;35;27;"2021-04-30";"téléphone";"service après-vente";"1"
156936;8;18;52;"2021-05-14";"réseaux sociaux";"qualité produit";""
156937;7;43;5;"2021-02-28";"téléphone";"qualité produit";"1"
156938;7;134;71;"2021-05-08";"email";"drive";"1"
156939;10;118;17;"2021-05-10";"email";"qualité produit";"1"
156940;10;131;30;"2021-02-11";"réseaux sociaux";"qualité produit";""
156941;10;42;27;"2021-03-28";"email";"qualité produit";"1"
156942;9;18;18;"2021-03-31";"téléphone";"drive";"1"
156943;8;72;20;"2021-10-09";"téléphone";"expérience en magasin";"1"
156944;7;44;78;"2021-11-03";"téléphone";"service après-vente";"1"
156945;9;6;70;"2021-08-03";"réseaux sociaux";"livraison";""
156946;9;48;2;"2021-07-04";"téléphone";"drive";"1"
156947;10;88;56;"2021-08-21";"email";"drive";"1"
156948;8;6;78;"2021-05-19";"réseaux sociaux";"service après-vente";""
156949;8;75;51;"2021-02-12";"téléphone";"service après-vente";"1"
156950;7;67;56;"2021-07-20";"email";"expérience en magasin";"1"
156951;7;12;21;"2021-07-20";"email";"expérience en magasin";"0"
156952;7;8;58;"2021-06-18";"téléphone";"service après-vente";"1"
156953;7;86;6;"2021-11-03";"email";"qualité produit";"1"
156954;9;91;29;"2021-01-03";"email";"expérience en magasin";"1"
156955;8;82;29;"2021-04-10";"téléphone";"livraison";"0"
156956;7;17;57;"2021-04-11";"téléphone";"livraison";"0"
156957;7;100;45;"2021-11-20";"email";"service après-vente";"1"
156958;7;25;68;"2021-01-30";"réseaux sociaux";"qualité produit";""
156959;10;134;75;"2021-08-07";"email";"livraison";"1"
156960;10;9;43;"2021-03-25";"téléphone";"livraison";"1"
156961;9;135;39;"2021-01-31";"téléphone";"service après-vente";"1"
156962;8;31;47;"2021-08-10";"réseaux sociaux";"drive";""
156963;10;139;16;"2021-10-09";"email";"service après-vente";"0"
156964;8;34;71;"2021-10-06";"réseaux sociaux";"expérience en magasin";"1"
156965;7;134;81;"2021-09-03";"email";"livraison";"1"
156966;9;39;31;"2021-10-12";"réseaux sociaux";"drive";""
156967;8;76;31;"2021-02-07";"email";"qualité produit";"0"
156968;7;113;25;"2021-10-09";"réseaux sociaux";"drive";""
156969;7;98;57;"2021-08-14";"réseaux sociaux";"drive";""
156970;7;3;5;"2021-08-11";"email";"expérience en magasin";"1"
156971;8;79;55;"2021-01-16";"téléphone";"qualité produit";"1"
156972;7;103;78;"2021-10-18";"téléphone";"qualité produit";"0"
156973;8;94;33;"2021-07-16";"email";"drive";"0"
156974;10;106;74;"2021-10-26";"réseaux sociaux";"livraison";"1"
156975;10;37;75;"2021-12-21";"téléphone";"service après-vente";"1"
156976;9;139;3;"2021-02-13";"email";"service après-vente";"1"
156977;10;12;3;"2021-12-04";"réseaux sociaux";"service après-vente";""
156978;9;129;34;"2021-04-27";"email";"service après-vente";"1"
156979;10;108;68;"2021-12-13";"réseaux sociaux";"qualité produit";"1"
156980;7;66;80;"2021-05-28";"téléphone";"service après-vente";"1"
156981;7;63;36;"2021-06-03";"réseaux sociaux";"livraison";""
156982;7;22;53;"2021-08-04";"email";"drive";"1"
156983;9;103;27;"2021-04-28";"email";"service après-vente";"1"
156984;7;97;35;"2021-12-10";"réseaux sociaux";"drive";""
156985;10;141;72;"2021-12-04";"email";"service après-vente";"1"
156986;10;54;38;"2021-11-26";"téléphone";"livraison";"1"
156987;9;135;13;"2021-12-26";"email";"drive";"1"
156988;9;32;6;"2021-06-12";"réseaux sociaux";"service après-vente";""
156989;7;55;63;"2021-07-03";"email";"drive";"0"
156990;8;61;45;"2021-10-30";"email";"drive";"1"
156991;8;108;31;"2021-12-10";"réseaux sociaux";"expérience en magasin";""
156992;9;131;58;"2021-08-01";"email";"expérience en magasin";"0"
156993;10;50;2;"2021-08-23";"email";"drive";"1"
156994;10;100;5;"2021-10-10";"téléphone";"service après-vente";"1"
156995;8;98;25;"2021-07-27";"réseaux sociaux";"expérience en magasin";""
156996;8;43;80;"2021-09-30";"email";"service après-vente";"1"
156997;8;41;53;"2021-03-26";"téléphone";"service après-vente";"1"
156998;7;102;47;"2021-02-26";"email";"drive";"1"
156999;7;8;35;"2021-10-01";"réseaux sociaux";"service après-vente";""
157000;8;114;27;"2021-06-08";"téléphone";"expérience en magasin";"1"
157001;7;137;24;"2021-03-14";"email";"expérience en magasin";"0"
157002;7;110;20;"2021-11-23";"réseaux sociaux";"livraison";""
157003;7;7;50;"2021-09-15";"réseaux sociaux";"expérience en magasin";""
157004;7;98;60;"2021-06-14";"email";"service après-vente";"1"
157005;9;96;82;"2021-10-15";"réseaux sociaux";"service après-vente";""
157006;8;88;38;"2021-02-01";"email";"qualité produit";"1"
157007;9;141;38;"2021-09-23";"réseaux sociaux";"service après-vente";""
157008;7;105;31;"2021-06-07";"email";"expérience en magasin";"1"
157009;10;52;26;"2021-12-02";"téléphone";"expérience en magasin";"1"
157010;9;116;34;"2021-05-05";"email";"qualité produit";"1"
157011;8;19;8;"2021-11-20";"téléphone";"service après-vente";"1"
157012;8;123;79;"2021-11-09";"email";"service après-vente";"1"
157013;9;23;80;"2021-12-22";"réseaux sociaux";"drive";""
157014;9;100;29;"2021-08-06";"réseaux sociaux";"qualité produit";""
157015;8;114;51;"2021-02-10";"email";"qualité produit";"1"
157016;9;52;79;"2021-12-08";"téléphone";"service après-vente";"1"
157017;8;3;24;"2021-04-01";"téléphone";"expérience en magasin";"1"
157018;9;71;48;"2021-07-06";"réseaux sociaux";"expérience en magasin";""
157019;10;47;56;"2021-10-26";"téléphone";"livraison";"1"
157020;10;108;69;"2021-10-19";"réseaux sociaux";"qualité produit";""
157021;8;3;26;"2021-04-08";"téléphone";"livraison";"1"
157022;7;30;6;"2021-07-10";"réseaux sociaux";"drive";""
157023;10;114;30;"2021-03-24";"téléphone";"service après-vente";"1"
157024;8;108;35;"2021-02-04";"email";"qualité produit";"1"
157025;10;1;29;"2021-09-25";"email";"qualité produit";"1"
157026;7;101;81;"2021-12-22";"réseaux sociaux";"qualité produit";""
157027;10;78;50;"2021-06-18";"réseaux sociaux";"drive";""
157028;10;29;66;"2021-03-07";"email";"service après-vente";"1"
157029;7;95;38;"2021-03-13";"réseaux sociaux";"livraison";""
157030;7;21;80;"2021-11-08";"réseaux sociaux";"qualité produit";""
157031;10;98;83;"2021-07-31";"email";"livraison";"1"
157032;10;83;30;"2021-08-25";"email";"drive";"1"
157033;10;85;79;"2021-12-12";"email";"drive";"1"
157034;10;17;77;"2021-02-13";"réseaux sociaux";"service après-vente";""
157035;8;119;58;"2021-05-11";"email";"drive";"0"
157036;10;122;68;"2021-04-30";"réseaux sociaux";"drive";""
157037;10;108;9;"2021-11-19";"email";"qualité produit";"1"
157038;10;108;35;"2021-01-19";"réseaux sociaux";"livraison";""
157039;10;23;13;"2021-07-13";"téléphone";"qualité produit";"1"
157040;8;37;33;"2021-05-23";"réseaux sociaux";"drive";"1"
157041;8;23;31;"2021-01-08";"réseaux sociaux";"drive";""
157042;7;7;19;"2021-11-14";"email";"drive";"1"
157043;10;120;61;"2021-12-23";"email";"livraison";"1"
157044;8;104;19;"2021-08-15";"réseaux sociaux";"qualité produit";""
157045;7;134;72;"2021-05-04";"email";"livraison";"1"
157046;9;8;58;"2021-08-31";"téléphone";"qualité produit";"1"
157047;9;6;65;"2021-05-31";"email";"expérience en magasin";"1"
157048;8;54;16;"2021-01-31";"email";"qualité produit";"1"
157049;8;65;68;"2021-11-10";"email";"service après-vente";"1"
157050;10;107;62;"2021-01-06";"réseaux sociaux";"drive";"1"
157051;8;55;26;"2021-02-16";"réseaux sociaux";"service après-vente";""
157052;7;123;21;"2021-12-20";"email";"service après-vente";"1"
157053;7;124;48;"2021-05-13";"email";"expérience en magasin";"1"
157054;7;25;61;"2021-07-26";"email";"drive";"1"
157055;9;135;57;"2021-01-29";"réseaux sociaux";"qualité produit";""
157056;9;81;13;"2021-01-24";"réseaux sociaux";"expérience en magasin";""
157057;7;23;60;"2021-04-24";"réseaux sociaux";"service après-vente";""
157058;7;52;35;"2021-05-13";"email";"drive";"1"
157059;8;104;5;"2021-12-22";"réseaux sociaux";"drive";""
157060;7;95;22;"2021-08-15";"téléphone";"qualité produit";"0"
157061;7;3;55;"2021-08-29";"email";"service après-vente";"1"
157062;10;95;51;"2021-12-01";"téléphone";"drive";"1"
157063;10;86;21;"2021-06-30";"email";"drive";"1"
157064;7;132;44;"2021-07-16";"téléphone";"service après-vente";"1"
157065;9;4;78;"2021-08-18";"email";"qualité produit";"1"
157066;8;84;36;"2021-06-05";"téléphone";"expérience en magasin";"1"
157067;9;77;78;"2021-09-17";"téléphone";"livraison";"1"
157068;10;129;9;"2021-11-18";"email";"livraison";"1"
157069;10;122;59;"2021-10-23";"réseaux sociaux";"qualité produit";"1"
157070;10;108;28;"2021-07-01";"réseaux sociaux";"expérience en magasin";"1"
157071;9;89;13;"2021-05-14";"email";"livraison";"1"
157072;10;38;29;"2021-06-03";"email";"livraison";"1"
157073;8;126;53;"2021-05-09";"email";"drive";"1"
157074;7;60;81;"2021-07-08";"réseaux sociaux";"expérience en magasin";""
157075;8;69;29;"2021-11-17";"email";"livraison";"1"
157076;10;11;7;"2021-03-05";"téléphone";"service après-vente";"1"
157077;8;85;19;"2021-04-26";"téléphone";"drive";"1"
157078;8;14;1;"2021-03-26";"réseaux sociaux";"expérience en magasin";"1"
157079;8;18;15;"2021-05-17";"téléphone";"livraison";"1"
157080;10;46;35;"2021-07-13";"email";"expérience en magasin";"1"
157081;9;10;25;"2021-06-29";"email";"qualité produit";"1"
157082;10;68;11;"2021-10-10";"réseaux sociaux";"livraison";"1"
157083;9;83;44;"2021-11-23";"téléphone";"expérience en magasin";"1"
157084;10;115;80;"2021-08-07";"réseaux sociaux";"expérience en magasin";"1"
157085;7;46;66;"2021-11-08";"réseaux sociaux";"expérience en magasin";""
157086;7;21;16;"2021-10-04";"téléphone";"drive";"1"
157087;8;43;29;"2021-07-14";"email";"service après-vente";"1"
157088;8;76;68;"2021-07-29";"réseaux sociaux";"qualité produit";"1"
157089;8;48;26;"2021-02-01";"réseaux sociaux";"drive";"1"
157090;8;19;46;"2021-02-25";"téléphone";"expérience en magasin";"1"
157091;9;89;72;"2021-04-29";"réseaux sociaux";"expérience en magasin";""
157092;10;93;22;"2021-05-06";"réseaux sociaux";"expérience en magasin";"1"
157093;7;127;34;"2021-06-25";"téléphone";"livraison";"1"
157094;7;22;81;"2021-12-19";"réseaux sociaux";"drive";""
157095;8;46;35;"2021-06-24";"téléphone";"drive";"0"
157096;10;78;70;"2021-08-04";"email";"livraison";"1"
157097;8;68;17;"2021-03-10";"email";"service après-vente";"1"
157098;7;126;34;"2021-09-12";"email";"service après-vente";"1"
157099;7;36;23;"2021-01-30";"téléphone";"livraison";"1"
157100;10;26;59;"2021-04-21";"email";"qualité produit";"1"
157101;8;53;80;"2021-06-24";"réseaux sociaux";"service après-vente";"1"
157102;7;120;10;"2021-07-20";"réseaux sociaux";"drive";""
157103;8;28;27;"2021-07-05";"email";"expérience en magasin";"0"
157104;10;134;33;"2021-07-08";"téléphone";"service après-vente";"1"
157105;10;114;24;"2021-08-08";"email";"service après-vente";"1"
157106;8;111;45;"2021-09-10";"téléphone";"qualité produit";"1"
157107;8;16;33;"2021-09-06";"téléphone";"expérience en magasin";"1"
157108;10;4;71;"2021-05-03";"email";"livraison";"1"
157109;7;66;66;"2021-04-12";"réseaux sociaux";"service après-vente";""
157110;9;61;22;"2021-01-09";"email";"expérience en magasin";"1"
157111;10;77;21;"2021-06-22";"téléphone";"expérience en magasin";"1"
157112;7;113;68;"2021-05-18";"téléphone";"drive";"0"
157113;8;26;57;"2021-04-01";"téléphone";"qualité produit";"1"
157114;8;30;22;"2021-02-04";"téléphone";"drive";"1"
157115;8;74;24;"2021-09-30";"email";"qualité produit";"1"
157116;7;1;80;"2021-12-01";"email";"expérience en magasin";"1"
157117;10;62;19;"2021-05-13";"téléphone";"qualité produit";"1"
157118;8;73;26;"2021-10-31";"réseaux sociaux";"service après-vente";""
157119;7;127;17;"2021-11-26";"téléphone";"qualité produit";"1"
157120;8;8;70;"2021-08-28";"réseaux sociaux";"drive";"1"
157121;8;12;2;"2021-08-23";"téléphone";"drive";"1"
157122;10;106;45;"2021-11-01";"réseaux sociaux";"drive";"1"
157123;8;114;29;"2021-06-08";"email";"livraison";"1"
157124;7;127;64;"2021-12-25";"téléphone";"qualité produit";"1"
157125;7;36;74;"2021-10-11";"réseaux sociaux";"service après-vente";"1"
157126;8;55;18;"2021-08-26";"téléphone";"drive";"1"
157127;10;5;80;"2021-05-25";"réseaux sociaux";"livraison";""
157128;8;116;22;"2021-10-16";"email";"expérience en magasin";"1"
157129;7;22;11;"2021-10-22";"téléphone";"livraison";"1"
157130;7;85;45;"2021-08-31";"réseaux sociaux";"service après-vente";"1"
157131;8;79;23;"2021-11-15";"téléphone";"livraison";"1"
157132;7;88;18;"2021-05-02";"réseaux sociaux";"qualité produit";"1"
157133;9;90;55;"2021-09-02";"téléphone";"service après-vente";"1"
157134;10;137;76;"2021-12-25";"réseaux sociaux";"qualité produit";""
157135;7;5;7;"2021-06-19";"réseaux sociaux";"service après-vente";"1"
157136;7;92;56;"2021-09-08";"email";"livraison";"0"
157137;7;11;48;"2021-04-22";"téléphone";"expérience en magasin";"1"
157138;9;41;5;"2021-08-17";"téléphone";"livraison";"1"
157139;8;80;53;"2021-01-14";"téléphone";"qualité produit";"0"
157140;8;98;1;"2021-08-19";"téléphone";"service après-vente";"1"
157141;10;33;11;"2021-10-03";"téléphone";"qualité produit";"1"
157142;9;140;40;"2021-07-23";"téléphone";"livraison";"1"
157143;8;139;83;"2021-06-14";"réseaux sociaux";"livraison";"1"
157144;8;83;49;"2021-02-23";"réseaux sociaux";"qualité produit";"1"
157145;8;76;35;"2021-11-09";"email";"qualité produit";"1"
157146;9;25;24;"2021-03-19";"téléphone";"expérience en magasin";"1"
157147;7;6;55;"2021-11-26";"email";"qualité produit";"1"
157148;10;3;73;"2021-01-06";"téléphone";"qualité produit";"1"
