"ref_magasin";"departement";"departement_commune";"libelle_de_commune";"population";"longitude";"latitude"
42;91;91549;"Sainte-Geneviève-des-Bois";34195;48.641252380388096;2.330194178908992
43;78;78126;"La Celle-Saint-Cloud";20971;48.846948712438156;2.135191262282002
44;94;94033;"Fontenay-sous-Bois";53145;48.85110463818291;2.473954097743391
45;75;75112;"Paris 12e Arrondissement";144262;48.83515623066034;2.419807034965275
46;75;75115;"Paris 15e Arrondissement";236715;48.84015541860987;2.293559372435076
47;78;78255;"Freneuse";3930;49.04950540134834;1.610353170234607
48;91;91201;"Draveil";28491;48.67784137721997;2.421978018623796
49;78;78133;"Chambourcy";5872;48.896059279621184;2.033215652046374
50;78;78646;"Versailles";86110;48.80256696709269;2.117892971909373
51;93;93066;"Saint-Denis";106785;48.929565045530566;2.359242997495927
52;94;94011;"Bonneuil-sur-Marne";16513;48.77336201042614;2.487993104631525
53;92;92062;"Puteaux";44753;48.88370949689581;2.238341783143101
54;75;75102;"Paris 2e Arrondissement";23009;48.86790337886785;2.344107166658533
55;93;93064;"Rosny-sous-Bois";41050;48.87457637682107;2.486340459097089
56;78;78158;"Le Chesnay";28975;48.82723977415478;2.130149082091764
57;95;95306;"Herblay";26016;49.000700276263835;2.149676807761108
58;78;78168;"Coignières";4527;48.74976700457057;1.91381870273418
59;75;75101;"Paris 1er Arrondissement";17308;48.8626304851685;2.336293446550539
60;78;78118;"Buchelay";2346;48.98370195523212;1.674369090025872
61;77;77373;"Pontault-Combault";35561;48.78714116584483;2.614074369849318
62;75;75119;"Paris 19e Arrondissement";186652;48.88686862295828;2.384694327870042
63;94;94041;"Ivry-sur-Seine";57732;48.81280638122824;2.387780236120973
64;77;77350;"Ozoir-la-Ferrière";20268;48.76356123961116;2.679625081993538
65;78;78545;"Saint-Cyr-l'École";17401;48.80657592938436;2.065925070303481
66;91;91692;"Les Ulis";24792;48.68032148204649;2.185189549998582
67;95;95218;"Éragny";16886;49.02045874958214;2.101366358466627
68;91;91235;"Fleury-Mérogis";9121;48.63330486819303;2.368253087879616
69;95;95277;"Gonesse";26356;48.98649030491167;2.456989962797882
70;95;95199;"Domont";14827;49.02966556835636;2.322901037285225
71;93;93048;"Montreuil";102770;48.863317505427545;2.448162118570861
72;77;77288;"Melun";39589;48.54447235526309;2.65795821916614
73;91;91687;"Viry-Châtillon";32045;48.66961689354256;2.373743576407093
74;77;77108;"Chelles";52779;48.88396296695729;2.596864485833624
75;75;75114;"Paris 14e Arrondissement";138299;48.82899321160942;2.327100883257538
76;78;78124;"Carrières-sur-Seine";15473;48.9119335063694;2.178382353225143
77;75;75110;"Paris 10e Arrondissement";95394;48.87602855694339;2.361112904561707
78;91;91573;"Saint-Pierre-du-Perray";8350;48.605828260428275;2.516149266962815
79;93;93046;"Livry-Gargan";41808;48.91976332125543;2.534865923320668
80;77;77258;"Lognes";14560;48.833280602060256;2.633463631721739
81;92;92050;"Nanterre";89185;48.89607012823736;2.206713463531096
82;91;91421;"Montgeron";22880;48.695153180134405;2.462498817784463
83;77;77294;"Mitry-Mory";18499;48.97794501581075;2.612444657514434
84;75;75113;"Paris 13e Arrondissement";181532;48.82871768452136;2.362468228516128
